storm_id,valid_time,forecast_time,ai-wind,wind_truth,ai-lat,lat_truth,ai-long,long_truth
ARTHUR-2020-1,2020-05-16 03:00:00,2020-05-17 03:00:00,33.885067105293274,35.0,29.060554742848872,29.3223,-76.14865057051182,-77.7925
ARTHUR-2020-1,2020-05-16 03:00:00,2020-05-18 03:00:00,31.358139216899872,40.0,30.824944312399627,32.4189,-74.77811802566052,-76.9319
ARTHUR-2020-1,2020-05-16 03:00:00,2020-05-19 03:00:00,30.352180302143097,50.0,32.54818642876148,36.5392,-69.84054254859686,-72.3764
ARTHUR-2020-1,2020-05-16 06:00:00,2020-05-17 06:00:00,33.92206013202667,35.0,29.27889759719372,29.7,-75.97185343563558,-77.7
ARTHUR-2020-1,2020-05-16 06:00:00,2020-05-18 06:00:00,31.519049406051636,40.0,30.943764778453115,33.1333,-74.53356372475625,-76.7667
ARTHUR-2020-1,2020-05-16 06:00:00,2020-05-19 06:00:00,30.63895493745804,50.0,32.60236650157571,36.8,-69.61140886574984,-71.5
ARTHUR-2020-1,2020-05-16 09:00:00,2020-05-17 09:00:00,34.31044399738312,35.0,29.605305797833203,30.0075,-75.81428812205792,-77.54
ARTHUR-2020-1,2020-05-16 09:00:00,2020-05-18 09:00:00,31.63769692182541,42.0,31.310208128726483,33.8751,-74.33639674454928,-76.3567
ARTHUR-2020-1,2020-05-16 09:00:00,2020-05-19 09:00:00,29.77026343345642,52.0,32.92906016753316,36.8951,-69.68593295812607,-70.5089
ARTHUR-2020-1,2020-05-16 12:00:00,2020-05-17 12:00:00,34.883167147636414,35.0,30.102418369442226,30.3,-75.79699486583472,-77.4
ARTHUR-2020-1,2020-05-16 12:00:00,2020-05-18 12:00:00,31.27190798521042,45.0,31.982071367174388,34.5667,-74.436957257092,-75.8
ARTHUR-2020-1,2020-05-16 12:00:00,2020-05-19 12:00:00,28.88546347618103,55.0,33.49279505507946,36.9,-69.88303558111191,-69.5
ARTHUR-2020-1,2020-05-16 15:00:00,2020-05-17 15:00:00,35.1434451341629,37.0,30.80476028096676,30.6349,-75.87904247432948,-77.3496
ARTHUR-2020-1,2020-05-16 15:00:00,2020-05-18 15:00:00,31.633380353450775,45.0,32.632296023386715,35.1263,-74.6482498624921,-75.2344
ARTHUR-2020-1,2020-05-16 15:00:00,2020-05-19 15:00:00,29.973961114883423,55.0,34.090484758770465,36.8982,-69.95377515494823,-68.5722
ARTHUR-2020-1,2020-05-16 18:00:00,2020-05-17 18:00:00,35.55690675973892,40.0,31.468967292916776,31.0,-75.88231527447701,-77.3
ARTHUR-2020-1,2020-05-16 18:00:00,2020-05-18 18:00:00,32.94697970151901,45.0,33.352784817385675,35.5667,-74.52943073540926,-74.6
ARTHUR-2020-1,2020-05-16 18:00:00,2020-05-19 18:00:00,31.864982843399048,55.0,34.88664364140034,36.9,-69.45931548565626,-67.7
ARTHUR-2020-1,2020-05-16 21:00:00,2020-05-17 21:00:00,37.1986386179924,40.0,32.07191593670249,31.3525,-75.65390364825726,-77.16
ARTHUR-2020-1,2020-05-16 21:00:00,2020-05-18 21:00:00,35.06586939096451,47.0,34.15453010849953,35.9129,-73.76991192668677,-73.9172
ARTHUR-2020-1,2020-05-17 00:00:00,2020-05-18 00:00:00,38.12892258167267,40.0,32.35271969158649,31.8,-75.27088871032001,-77.0
ARTHUR-2020-1,2020-05-17 00:00:00,2020-05-19 00:00:00,35.78137010335922,50.0,34.42759985342026,36.2,-73.06098417252302,-73.1667
ARTHUR-2020-1,2020-05-17 03:00:00,2020-05-18 03:00:00,37.60018453001976,40.0,32.45766669875383,32.4189,-74.83387021541596,-76.9319
ARTHUR-2020-1,2020-05-17 03:00:00,2020-05-19 03:00:00,35.6279182434082,50.0,34.05881911001205,36.5392,-72.77787518709899,-72.3764
ARTHUR-2020-1,2020-05-17 06:00:00,2020-05-18 06:00:00,38.797433227300644,40.0,32.500467828416824,33.1333,-74.47741754323245,-76.7667
ARTHUR-2020-1,2020-05-17 06:00:00,2020-05-19 06:00:00,38.59239801764488,50.0,34.20422129752636,36.8,-71.60086637586356,-71.5
ARTHUR-2020-1,2020-05-17 09:00:00,2020-05-18 09:00:00,41.18894889950752,42.0,32.6228383318305,33.8751,-73.74393515467645,-76.3567
ARTHUR-2020-1,2020-05-17 09:00:00,2020-05-19 09:00:00,41.85080476105213,52.0,34.56687581520081,36.8951,-70.28544715762139,-70.5089
ARTHUR-2020-1,2020-05-17 12:00:00,2020-05-18 12:00:00,42.29861564934254,45.0,32.6064322433114,34.5667,-73.8152303981781,-75.8
ARTHUR-2020-1,2020-05-17 12:00:00,2020-05-19 12:00:00,41.49718277156353,55.0,34.33435925779343,36.9,-70.904745708704,-69.5
ARTHUR-2020-1,2020-05-17 15:00:00,2020-05-18 15:00:00,40.79924359917641,45.0,32.22880440855026,35.1263,-74.57866087019444,-75.2344
ARTHUR-2020-1,2020-05-17 15:00:00,2020-05-19 15:00:00,39.707719534635544,55.0,33.42731848958731,36.8982,-72.37772396177054,-68.5722
ARTHUR-2020-1,2020-05-17 18:00:00,2020-05-18 18:00:00,41.632256135344505,45.0,32.112578798902035,35.5667,-74.77613236993551,-74.6
ARTHUR-2020-1,2020-05-17 18:00:00,2020-05-19 18:00:00,40.655384212732315,55.0,33.27630655854941,36.9,-72.36725884974004,-67.7
ARTHUR-2020-1,2020-05-17 21:00:00,2020-05-18 21:00:00,42.48340331017971,47.0,32.265000944167376,35.9129,-74.44749771416187,-73.9172
ARTHUR-2020-1,2020-05-18 00:00:00,2020-05-19 00:00:00,42.65428103506565,50.0,32.53456032129526,36.2,-74.41884776294232,-73.1667
ARTHUR-2020-1,2020-05-18 03:00:00,2020-05-19 03:00:00,43.33285499364138,50.0,33.093347402608394,36.5392,-74.50611458510161,-72.3764
ARTHUR-2020-1,2020-05-18 06:00:00,2020-05-19 06:00:00,43.06867964565754,50.0,33.74939648470879,36.8,-74.06887790352107,-71.5
ARTHUR-2020-1,2020-05-18 09:00:00,2020-05-19 09:00:00,41.746421456336975,52.0,34.43054473541975,36.8951,-73.06351137071849,-70.5089
ARTHUR-2020-1,2020-05-18 12:00:00,2020-05-19 12:00:00,42.23657928407192,55.0,35.48407199264765,36.9,-72.25433076292276,-69.5
ARTHUR-2020-1,2020-05-18 15:00:00,2020-05-19 15:00:00,42.60834753513336,55.0,36.63775168423653,36.8982,-71.77571866691113,-68.5722
ARTHUR-2020-1,2020-05-18 18:00:00,2020-05-19 18:00:00,43.861907199025154,55.0,37.55842944959402,36.9,-70.48881126731635,-67.7
BERTHA-2020-2,2020-05-26 09:00:00,2020-05-27 09:00:00,29.647470116615295,42.0,27.46501829779148,32.0293,-81.27260926902295,-78.9674
BERTHA-2020-2,2020-05-26 09:00:00,2020-05-28 09:00:00,29.847975969314575,20.0,28.14737219221592,38.2876,-83.10866113960743,-80.9654
BERTHA-2020-2,2020-05-26 12:00:00,2020-05-27 12:00:00,30.06359964609146,45.0,28.359515704369546,32.6,-81.06719671607019,-79.4
BERTHA-2020-2,2020-05-26 12:00:00,2020-05-28 12:00:00,29.24653172492981,20.0,29.273858006471396,39.5,-82.8130637139082,-80.5
BERTHA-2020-2,2020-05-26 15:00:00,2020-05-27 15:00:00,30.724233090877533,37.0,29.410777907085418,33.0818,-80.79925719857216,-79.8573
BERTHA-2020-2,2020-05-26 18:00:00,2020-05-27 18:00:00,31.484933495521545,30.0,30.28355194745064,33.6,-80.43824772119522,-80.2
BERTHA-2020-2,2020-05-26 21:00:00,2020-05-27 21:00:00,32.61440724134445,27.0,30.82430726581812,34.2171,-80.15047990083696,-80.253
BERTHA-2020-2,2020-05-27 00:00:00,2020-05-28 00:00:00,33.810186088085175,25.0,30.987924007421732,35.0,-79.62384633004666,-80.3
BERTHA-2020-2,2020-05-27 03:00:00,2020-05-28 03:00:00,35.06789445877075,22.0,31.067823183065656,35.9758,-78.62837354272605,-80.7468
BERTHA-2020-2,2020-05-27 06:00:00,2020-05-28 06:00:00,36.392718851566315,20.0,31.564280040061476,37.1,-77.23120495676994,-81.1
BERTHA-2020-2,2020-05-27 09:00:00,2020-05-28 09:00:00,38.50694462656975,20.0,32.27846137285233,38.2876,-76.33732710659504,-80.9654
BERTHA-2020-2,2020-05-27 12:00:00,2020-05-28 12:00:00,40.266125947237015,20.0,33.54012162675858,39.5,-75.16169962108135,-80.5
AMANDA:CRISTOBAL-2020-3,2020-06-02 09:00:00,2020-06-03 09:00:00,36.90300911664963,50.0,22.977534807233514,18.915,-86.13744381964207,-92.1001
AMANDA:CRISTOBAL-2020-3,2020-06-02 09:00:00,2020-06-04 09:00:00,35.758264660835266,32.0,26.720114051842693,17.7967,-84.92004692792892,-91.35
AMANDA:CRISTOBAL-2020-3,2020-06-02 09:00:00,2020-06-05 09:00:00,36.14814519882202,30.0,32.23775806325078,18.905,-76.62575105667115,-90.0807
AMANDA:CRISTOBAL-2020-3,2020-06-02 09:00:00,2020-06-06 09:00:00,34.99311983585358,42.0,38.51083197914362,23.4883,-67.94059808462859,-90.1386
AMANDA:CRISTOBAL-2020-3,2020-06-02 09:00:00,2020-06-07 09:00:00,31.300836503505707,45.0,44.83675431492329,27.5517,-60.437989429682496,-89.9786
AMANDA:CRISTOBAL-2020-3,2020-06-02 12:00:00,2020-06-03 12:00:00,39.166763573884964,50.0,22.892461086554825,18.8,-85.90977936506272,-92.1
AMANDA:CRISTOBAL-2020-3,2020-06-02 12:00:00,2020-06-04 12:00:00,38.72126653790474,30.0,27.049884053856136,17.6333,-84.50814815521241,-91.2
AMANDA:CRISTOBAL-2020-3,2020-06-02 12:00:00,2020-06-05 12:00:00,37.79952719807625,30.0,32.722192707836626,19.5333,-76.16084077000619,-89.9667
AMANDA:CRISTOBAL-2020-3,2020-06-02 12:00:00,2020-06-06 12:00:00,34.936503767967224,45.0,38.952509830641745,23.8,-67.75245681226254,-90.1
AMANDA:CRISTOBAL-2020-3,2020-06-02 12:00:00,2020-06-07 12:00:00,30.25555819272995,45.0,45.203940497291086,28.2,-60.03441863834858,-89.9
AMANDA:CRISTOBAL-2020-3,2020-06-02 15:00:00,2020-06-03 15:00:00,43.73344246298075,47.0,23.140846637652814,18.5925,-85.64920796453953,-92.0074
AMANDA:CRISTOBAL-2020-3,2020-06-02 15:00:00,2020-06-04 15:00:00,44.28722262382507,30.0,27.52903097846508,17.5816,-84.15421797215939,-91.0575
AMANDA:CRISTOBAL-2020-3,2020-06-02 15:00:00,2020-06-05 15:00:00,42.03371934592724,32.0,33.28159738986492,20.1492,-76.12287000954151,-89.7938
AMANDA:CRISTOBAL-2020-3,2020-06-02 15:00:00,2020-06-06 15:00:00,37.08484590053558,45.0,39.42045826973916,24.2225,-67.66780979990959,-90.1473
AMANDA:CRISTOBAL-2020-3,2020-06-02 15:00:00,2020-06-07 15:00:00,30.245310366153717,45.0,45.438953903937346,28.5658,-60.269372725486754,-89.8756
AMANDA:CRISTOBAL-2020-3,2020-06-02 18:00:00,2020-06-03 18:00:00,46.58006452023983,45.0,23.046606913413108,18.4,-85.52207262873651,-91.9
AMANDA:CRISTOBAL-2020-3,2020-06-02 18:00:00,2020-06-04 18:00:00,46.94083012640476,30.0,27.37422088081241,17.6,-84.345789013505,-90.9
AMANDA:CRISTOBAL-2020-3,2020-06-02 18:00:00,2020-06-05 18:00:00,43.74464191496372,35.0,32.923047505658865,20.8,-76.3839782434702,-89.7
AMANDA:CRISTOBAL-2020-3,2020-06-02 18:00:00,2020-06-06 18:00:00,37.33017683029175,45.0,38.73110075209141,24.7,-68.34026898533106,-90.2
AMANDA:CRISTOBAL-2020-3,2020-06-02 18:00:00,2020-06-07 18:00:00,30.793541371822357,45.0,44.75798299952746,28.8667,-61.3285701495409,-89.8667
AMANDA:CRISTOBAL-2020-3,2020-06-02 21:00:00,2020-06-03 21:00:00,46.74290008842945,42.0,22.863134969976546,18.3425,-85.51082424223424,-91.8576
AMANDA:CRISTOBAL-2020-3,2020-06-02 21:00:00,2020-06-04 21:00:00,47.488190084695816,30.0,26.86392867882848,17.5975,-84.32737029075624,-90.6999
AMANDA:CRISTOBAL-2020-3,2020-06-02 21:00:00,2020-06-05 21:00:00,44.02178328484297,37.0,32.03067436552048,21.5225,-76.6059400203824,-89.8168
AMANDA:CRISTOBAL-2020-3,2020-06-02 21:00:00,2020-06-06 21:00:00,38.71942475438118,45.0,37.93133427233696,25.1825,-68.80151091039181,-90.1984
AMANDA:CRISTOBAL-2020-3,2020-06-02 21:00:00,2020-06-07 21:00:00,33.38314175605774,45.0,44.359534086751935,29.3382,-61.809886033684016,-89.7716
AMANDA:CRISTOBAL-2020-3,2020-06-03 00:00:00,2020-06-04 00:00:00,48.56615602970123,40.0,22.492950818394124,18.3,-85.2135221350193,-91.8
AMANDA:CRISTOBAL-2020-3,2020-06-03 00:00:00,2020-06-05 00:00:00,48.693916350603104,30.0,26.141404291540386,17.7,-84.04336030423642,-90.5
AMANDA:CRISTOBAL-2020-3,2020-06-03 00:00:00,2020-06-06 00:00:00,45.50362262874842,40.0,31.490570872592926,22.2,-76.51754773169756,-90.0
AMANDA:CRISTOBAL-2020-3,2020-06-03 00:00:00,2020-06-07 00:00:00,40.80526918172836,45.0,37.98254535027743,25.7,-68.62574192136526,-90.1667
AMANDA:CRISTOBAL-2020-3,2020-06-03 00:00:00,2020-06-08 00:00:00,35.47544449567795,45.0,44.74792559745312,29.8,-61.08611138254404,-89.8
AMANDA:CRISTOBAL-2020-3,2020-06-03 03:00:00,2020-06-04 03:00:00,49.141274839639664,37.0,22.094147018557788,18.17,-84.71696379244328,-91.665
AMANDA:CRISTOBAL-2020-3,2020-06-03 03:00:00,2020-06-05 03:00:00,50.22406607866287,30.0,25.94995973736048,17.9533,-83.61609428286553,-90.3375
AMANDA:CRISTOBAL-2020-3,2020-06-03 03:00:00,2020-06-06 03:00:00,47.576609775424004,40.0,31.88455501445532,22.7408,-75.88517524659635,-90.1109
AMANDA:CRISTOBAL-2020-3,2020-06-03 03:00:00,2020-06-07 03:00:00,42.78354160487652,45.0,38.56633670437336,26.2392,-67.39978708893061,-90.1266
AMANDA:CRISTOBAL-2020-3,2020-06-03 03:00:00,2020-06-08 03:00:00,35.92022627592087,40.0,45.0828394200325,30.0651,-60.072466313540936,-90.1208
AMANDA:CRISTOBAL-2020-3,2020-06-03 06:00:00,2020-06-04 06:00:00,51.42737254500389,35.0,22.608050317922235,18.0,-84.12098767042161,-91.5
AMANDA:CRISTOBAL-2020-3,2020-06-03 06:00:00,2020-06-05 06:00:00,52.1377868950367,30.0,27.399134924775364,18.3667,-82.28520892560482,-90.2
AMANDA:CRISTOBAL-2020-3,2020-06-03 06:00:00,2020-06-06 06:00:00,48.74192029237747,40.0,33.77279841810465,23.1667,-73.6133731892705,-90.1667
AMANDA:CRISTOBAL-2020-3,2020-06-03 06:00:00,2020-06-07 06:00:00,41.94199874997139,45.0,40.37415044914484,26.8333,-65.06231790557504,-90.0667
AMANDA:CRISTOBAL-2020-3,2020-06-03 06:00:00,2020-06-08 06:00:00,34.72754806280136,35.0,46.88059887406826,30.4,-57.757297692149876,-90.6
AMANDA:CRISTOBAL-2020-3,2020-06-03 09:00:00,2020-06-04 09:00:00,51.64118215441704,32.0,23.576243668779732,17.7967,-83.45220626473427,-91.35
AMANDA:CRISTOBAL-2020-3,2020-06-03 09:00:00,2020-06-05 09:00:00,52.75114059448242,30.0,28.689361934179068,18.905,-80.72620076477529,-90.0807
AMANDA:CRISTOBAL-2020-3,2020-06-03 09:00:00,2020-06-06 09:00:00,48.139087334275246,42.0,34.88184906859398,23.4883,-71.8186810362339,-90.1386
AMANDA:CRISTOBAL-2020-3,2020-06-03 09:00:00,2020-06-07 09:00:00,41.38398461043835,45.0,41.31687204859257,27.5517,-63.18196550637484,-89.9786
AMANDA:CRISTOBAL-2020-3,2020-06-03 09:00:00,2020-06-08 09:00:00,34.871046245098114,32.0,47.48250910859108,31.0429,-56.20666852757335,-91.131
AMANDA:CRISTOBAL-2020-3,2020-06-03 12:00:00,2020-06-04 12:00:00,53.66971135139465,30.0,23.482956791990997,17.6333,-83.34786908209324,-91.2
AMANDA:CRISTOBAL-2020-3,2020-06-03 12:00:00,2020-06-05 12:00:00,53.66423964500427,30.0,28.03469428642392,19.5333,-80.97804469823838,-89.9667
AMANDA:CRISTOBAL-2020-3,2020-06-03 12:00:00,2020-06-06 12:00:00,48.40856350958347,45.0,33.743682511341575,23.8,-72.701136264503,-90.1
AMANDA:CRISTOBAL-2020-3,2020-06-03 12:00:00,2020-06-07 12:00:00,41.67548932135105,45.0,39.58629572927952,28.2,-64.9807930032909,-89.9
AMANDA:CRISTOBAL-2020-3,2020-06-03 12:00:00,2020-06-08 12:00:00,35.78626245260239,30.0,45.24609602419138,31.8,-58.10008387297392,-91.6
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-04 15:00:00,52.77754247188568,30.0,22.555760577775537,17.5816,-83.64673459887506,-91.0575
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-05 15:00:00,53.99060636758804,32.0,26.495461791703107,20.1492,-82.1848116606474,-89.7938
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-06 15:00:00,49.83683064579964,45.0,31.550109448337558,24.2225,-75.00679963827133,-90.1473
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-07 15:00:00,44.62638379074633,45.0,36.81432170633077,28.5658,-67.58876814454794,-89.8756
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-08 15:00:00,39.94941785931587,30.0,41.83906978778839,32.518,-61.26072665065527,-91.8565
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-04 18:00:00,52.21320793032646,30.0,22.11603742476255,17.6,-83.8725687968731,-90.9
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-05 18:00:00,53.09864044189453,35.0,25.590935374015572,20.8,-83.05798846125603,-89.7
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-06 18:00:00,50.520322769880295,45.0,30.210310258609056,24.7,-76.05530905455352,-90.2
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-07 18:00:00,46.46258633583784,45.0,34.96549740726948,28.8667,-69.07564284831285,-89.8667
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-08 18:00:00,41.832225769758224,30.0,39.88298986830712,33.1667,-62.82154701665044,-91.9667
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-04 21:00:00,46.919487342238426,30.0,21.687585484801232,17.5975,-84.04717150747777,-90.6999
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-05 21:00:00,48.27113337814808,37.0,24.54657062009275,21.5225,-83.41960069894792,-89.8168
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-06 21:00:00,46.44299414008856,45.0,28.468663796502355,25.1825,-76.73094528913498,-90.1984
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-07 21:00:00,44.12463370710611,45.0,33.05698285470605,29.3382,-69.79776697218418,-89.7716
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-08 21:00:00,41.82654932141304,27.0,37.879280021631715,33.6157,-63.93277411460877,-91.9821
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-05 00:00:00,44.91444096900523,30.0,21.229155019445717,17.7,-84.02646103978158,-90.5
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-06 00:00:00,45.01005590893328,40.0,23.515284378039837,22.2,-83.57019345700742,-90.0
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-07 00:00:00,45.3425217512995,45.0,27.384839879506828,25.7,-77.02291516512634,-90.1667
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-08 00:00:00,45.26052505709231,45.0,32.058481176561116,29.8,-70.36335078895092,-89.8
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-09 00:00:00,44.34574294835329,25.0,37.0232760964036,34.1,-63.72827433541417,-92.0
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-05 03:00:00,40.79307362437248,30.0,20.62712436639555,17.9533,-83.69928776383401,-90.3375
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-06 03:00:00,42.509848326444626,40.0,22.758520876041054,22.7408,-83.6007301735878,-90.1109
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-07 03:00:00,45.5077264085412,45.0,26.589711627793314,26.2392,-77.41025459438563,-90.1266
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-08 03:00:00,47.4773745238781,40.0,31.213819636255504,30.0651,-70.08623801290989,-90.1208
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-09 03:00:00,47.34836809337139,25.0,35.93769116175175,34.7653,-63.48342807248235,-92.2251
